total_freight_value,total_payment,payment_installments,total_price
38.07,397.62,1.0,94.47
18.3,168.2,1.0,149.9
22.61,162.55,1.0,139.94
48.98,398.88,5.0,349.9
15.34,100.24,1.0,84.9
15.79,35.78,2.0,19.99
26.67,72.57,1.0,45.9
16.21,80.7,1.0,64.49
11.73,21.72,1.0,9.99
16.07,126.07,5.0,110.0
16.11,64.01,1.0,47.9
53.760000000000005,506.88,10.0,115.2
13.6,193.5,1.0,179.9
13.65,103.55,1.0,89.9
24.32,231.32,10.0,207.0
38.99,875.18,7.0,398.6
14.22,288.71,5.0,274.49
15.57,66.47,1.0,50.9
21.75,151.74,5.0,129.99
16.91,181.9,5.0,164.99
11.73,61.73,1.0,50.0
18.34,52.24,1.0,33.9
16.79,32.69,1.0,15.9
33.2,242.0,1.0,87.8
22.61,271.61,3.0,249.0
30.2,135.36,6.0,37.48
18.64,234.64,8.0,216.0
18.61,134.51,1.0,115.9
17.49,1478.48,10.0,1460.99
12.79,25.04,1.0,12.25
14.11,64.86,1.0,50.75
8.16,124.66,3.0,116.5
14.41,264.31,2.0,249.9
19.66,817.12,10.0,388.9
14.38,104.37,10.0,89.99
28.63,207.63,10.0,179.0
23.16,106.15,2.0,82.99
14.32,98.22,2.0,83.9
15.23,82.13,1.0,66.9
15.17,75.16,3.0,59.99
13.18,119.18,1.0,106.0
147.57,2111.57,1.0,1964.0
7.6,56.6,2.0,49.0
43.16,140.16,4.0,97.0
18.0,77.9,5.0,59.9
16.46,116.45,2.0,99.99
12.12,101.12,4.0,89.0
16.54,66.44,1.0,49.9
24.84,133.84,1.0,109.0
57.5,1057.4,10.0,999.9
18.23,68.13,1.0,49.9
13.07,82.97,4.0,69.9
35.26,146.12,1.0,37.8
45.13,235.03,8.0,189.9
14.59,74.54,1.0,59.95
47.44,473.15,1.0,425.71
26.54,344.53,4.0,317.99
13.61,57.61,1.0,44.0
25.73,152.72,1.0,126.99
7.71,21.4,1.0,13.69
15.1,54.07,2.0,38.97
18.43,97.43,1.0,79.0
12.48,30.38,1.0,17.9
13.9,222.9,1.0,209.0
7.71,19.21,1.0,11.5
7.78,42.77,1.0,34.99
15.7,150.7,4.0,135.0
18.23,158.13,3.0,139.9
50.28,887.94,10.0,245.7
13.44,73.34,1.0,59.9
16.17,219.06,1.0,202.89
23.52,157.72,1.0,134.2
14.99,113.59,4.0,98.6
18.23,55.22,1.0,36.99
19.19,175.16,10.0,155.97
21.35,100.35,1.0,79.0
12.57,292.47,10.0,279.9
41.6,179.2,8.0,48.0
56.61,107.51,5.0,50.9
16.66,163.65,1.0,146.99
15.63,75.48,1.0,59.85
13.44,73.34,1.0,59.9
47.46,162.36,1.0,114.9
9.72,139.5,5.0,129.78
13.51,83.41,3.0,69.9
16.21,81.2,8.0,64.99
22.13,51.03,2.0,28.9
12.89,211.89,2.0,199.0
87.4,882.64,10.0,353.92
13.47,78.36,5.0,64.89
23.42,283.42,5.0,260.0
7.39,32.39,1.0,25.0
16.27,89.17,4.0,72.9
18.41,136.41,1.0,118.0
8.72,57.72,5.0,49.0
31.98,381.88,6.0,349.9
98.02,348.02,8.0,250.0
16.79,56.79,4.0,40.0
8.72,74.71,1.0,65.99
18.23,48.73,4.0,30.5
18.19,152.09,1.0,133.9
31.18,542.36,1.0,240.0
19.98,506.98,1.0,487.0
18.3,185.2,3.0,166.9
9.34,57.24,3.0,47.9
17.88,107.53,2.0,89.65
144.29,543.29,1.0,399.0
25.56,225.46,8.0,199.9
20.8,50.7,5.0,29.9
15.23,30.13,3.0,14.9
7.39,52.38,1.0,44.99
13.44,73.34,1.0,59.9
12.93,82.92,1.0,69.99
7.78,46.78,1.0,39.0
21.19,121.18,2.0,99.99
15.1,44.59,1.0,29.49
70.4,273.2,4.0,202.8
13.25,113.15,1.0,99.9
12.62,82.62,1.0,70.0
9.33,119.33,1.0,110.0
20.49,69.49,1.0,49.0
18.05,53.95,1.0,35.9
63.11,186.1,10.0,122.99
7.6,56.6,3.0,49.0
14.1,60.0,2.0,45.9
18.2,108.19,4.0,89.99
11.73,70.72,2.0,58.99
18.29,166.29,1.0,148.0
26.54,242.48,3.0,215.94
26.7,913.7,1.0,887.0
7.78,32.77,1.0,24.99
15.79,59.69,1.0,43.9
15.1,55.09,1.0,39.99
18.27,74.17,1.0,55.9
9.34,44.24,1.0,34.9
15.86,174.86,4.0,159.0
12.79,37.69,3.0,24.9
13.46,293.36,1.0,279.9
12.79,42.77,4.0,29.98
12.79,52.78,1.0,39.99
28.2,148.36,1.0,45.98
113.72,723.72,1.0,610.0
15.1,31.09,1.0,15.99
13.41,62.41,5.0,49.0
8.88,60.37,1.0,51.49
15.24,85.14,1.0,69.9
20.62,120.52,1.0,99.9
26.44,419.08,1.0,183.1
31.97,206.87,3.0,174.9
18.13,98.03,1.0,79.9
13.18,163.08,1.0,149.9
17.84,710.66,3.0,337.49
9.74,37.24,1.0,27.5
52.8,252.8,5.0,200.0
18.3,78.2,1.0,59.9
15.52,125.42,2.0,109.9
16.99,76.89,1.0,59.9
11.15,68.64,1.0,57.49
18.04,131.61,4.0,113.57
14.15,71.14,6.0,56.99
25.04,99.94,1.0,74.9
16.79,59.79,3.0,43.0
15.02,217.01,4.0,201.99
16.05,48.04,2.0,31.99
30.33,105.32,1.0,74.99
27.31,137.26,1.0,109.95
18.23,67.93,1.0,49.7
22.37,392.37,1.0,370.0
9.44,108.44,1.0,99.0
15.5,205.4,8.0,189.9
17.59,286.59,3.0,269.0
13.46,293.46,1.0,280.0
35.69,115.59,2.0,79.9
11.01,68.0,4.0,56.99
31.54,444.16,1.0,190.54
9.86,159.86,1.0,150.0
8.18,116.17,2.0,107.99
7.98,41.88,1.0,33.9
19.59,264.59,10.0,245.0
14.42,109.42,4.0,95.0
15.1,29.0,1.0,13.9
14.78,235.36,1.0,102.9
15.83,151.04,1.0,135.21
21.38,521.37,8.0,499.99
10.6,65.6,1.0,55.0
7.78,37.68,1.0,29.9
8.27,36.17,1.0,27.9
33.7,627.36,6.0,279.98
45.41,123.15,8.0,77.74
10.15,130.05,8.0,119.9
23.15,620.15,1.0,597.0
13.98,70.97,2.0,56.99
12.48,28.38,1.0,15.9
24.12,130.11,2.0,105.99
17.09,22.99,2.0,5.9
7.56,50.49,1.0,42.93
38.09,433.43,24.0,395.34
28.2,216.0,1.0,79.8
21.39,150.39,6.0,129.0
38.92,357.8,6.0,139.98
45.3,165.3,3.0,120.0
8.96,38.96,1.0,30.0
12.79,41.28,1.0,28.49
14.86,113.86,1.0,99.0
15.07,294.97,1.0,279.9
7.39,66.29,1.0,58.9
12.79,37.78,1.0,24.99
29.41,1129.41,1.0,1100.0
33.78,76.88,6.0,119.98
68.14,1175.88,1.0,519.8
18.57,207.57,1.0,189.0
38.55,181.55,1.0,143.0
19.55,71.45,3.0,51.9
7.78,77.55,1.0,69.77
14.62,141.62,5.0,127.0
10.96,30.95,1.0,19.99
16.99,76.99,4.0,60.0
18.23,53.13,1.0,34.9
14.1,59.09,1.0,44.99
15.1,31.1,1.0,16.0
13.37,63.17,1.0,49.8
7.78,56.78,2.0,49.0
36.99,306.99,5.0,270.0
13.63,101.48,3.0,87.85
25.63,63.12,1.0,37.49
11.85,36.75,1.0,24.9
13.38,282.38,10.0,269.0
9.3,167.07,2.0,157.77
42.15,241.15,8.0,199.0
17.08,136.08,1.0,119.0
96.41,325.41,1.0,229.0
22.06,71.06,1.0,49.0
9.06,132.05,1.0,122.99
17.3,83.2,5.0,65.9
27.92,150.91,5.0,122.99
15.1,64.1,1.0,49.0
15.15,215.05,1.0,199.9
15.55,129.54,1.0,113.99
20.65,269.65,2.0,249.0
8.89,28.79,2.0,19.9
7.39,47.39,1.0,40.0
37.41,287.4,1.0,249.99
15.42,109.41,1.0,93.99
11.81,71.71,3.0,59.9
14.58,157.48,7.0,142.9
36.39,216.29,10.0,179.9
41.29,170.29,7.0,129.0
25.63,71.53,1.0,45.9
16.05,35.95,1.0,19.9
14.13,68.12,1.0,53.99
21.15,50.05,5.0,28.9
15.38,105.28,5.0,89.9
38.6,188.5,10.0,149.9
16.5,232.78,1.0,99.89
25.73,90.73,3.0,65.0
8.0,44.49,1.0,36.49
22.96,201.96,1.0,179.0
15.92,136.92,1.0,121.0
10.7,279.7,4.0,269.0
30.39,310.29,1.0,279.9
14.17,72.07,7.0,57.9
21.66,561.56,8.0,539.9
13.21,91.21,3.0,78.0
17.98,74.88,1.0,56.9
16.18,76.08,1.0,59.9
37.35,327.25,4.0,289.9
17.67,77.57,1.0,59.9
21.4,130.4,1.0,109.0
17.35,41.24,1.0,23.89
15.1,47.0,1.0,31.9
12.09,139.09,1.0,127.0
12.79,58.69,1.0,45.9
21.15,35.55,1.0,14.4
38.32,148.22,1.0,109.9
19.04,61.94,1.0,42.9
23.49,153.49,5.0,130.0
8.03,118.35,1.0,110.32
91.32,390.32,7.0,299.0
29.28,159.18,10.0,129.9
16.79,35.69,3.0,18.9
12.05,91.05,1.0,79.0
7.78,34.28,1.0,26.5
13.03,98.02,3.0,84.99
57.99,152.99,1.0,95.0
23.49,133.81,5.0,110.32
7.39,17.29,1.0,9.9
11.85,39.84,3.0,27.99
7.78,50.78,5.0,43.0
70.68,1066.72,6.0,196.0
56.96,114.85,1.0,57.89
13.65,103.64,3.0,89.99
37.17,147.07,5.0,109.9
20.08,54.98,1.0,34.9
65.74,1983.48,8.0,926.0
21.14,114.04,8.0,92.9
34.35,446.5,3.0,188.9
39.54,323.54,8.0,284.0
15.12,68.02,1.0,52.9
10.91,345.91,10.0,335.0
30.32,287.84,12.0,113.6
7.95,106.95,5.0,99.0
15.15,72.14,3.0,56.99
11.85,30.84,1.0,18.99
32.22,224.04,4.0,79.8
17.86,104.76,6.0,86.9
19.04,30.53,1.0,11.49
23.74,872.74,1.0,849.0
38.49,172.39,1.0,133.9
15.1,65.0,1.0,49.9
13.54,73.44,1.0,59.9
23.15,73.15,1.0,50.0
7.78,61.77,2.0,53.99
17.86,104.85,1.0,86.99
42.38,87.38,8.0,45.0
16.39,45.19,1.0,28.8
17.01,195.0,1.0,177.99
15.94,134.94,4.0,119.0
12.69,49.59,1.0,36.9
26.86,106.76,3.0,79.9
23.57,123.47,1.0,99.9
18.89,58.79,3.0,39.9
13.64,87.54,1.0,73.9
27.16,146.96,2.0,119.8
15.29,41.69,1.0,26.4
46.93,255.93,1.0,209.0
12.04,131.94,1.0,119.9
9.23,134.13,1.0,124.9
42.27,1061.76,10.0,1019.49
16.18,76.17,1.0,59.99
21.55,88.55,1.0,67.0
29.66,109.73,2.0,189.8
16.86,103.86,1.0,87.0
10.96,50.86,1.0,39.9
15.76,113.76,1.0,98.0
19.75,92.74,1.0,72.99
8.66,136.56,1.0,127.9
15.1,40.0,1.0,24.9
28.46,336.7,2.0,139.89
129.26,462.63,12.0,796.0
12.14,162.04,3.0,149.9
25.53,1687.59,2.0,537.0
87.11,264.08,3.0,176.97
14.1,63.1,1.0,49.0
18.8,148.7,1.0,129.9
17.6,57.5,5.0,39.9
12.79,54.79,1.0,42.0
22.93,72.92,2.0,49.99
8.27,50.77,2.0,42.5
18.23,33.23,1.0,15.0
20.63,219.63,1.0,199.0
24.86,117.76,10.0,92.9
23.06,92.06,1.0,69.0
17.48,127.38,2.0,109.9
18.23,63.13,2.0,44.9
38.99,138.96,1.0,99.97
18.3,78.3,2.0,60.0
16.66,1415.66,8.0,1399.0
126.47,3526.46,8.0,3399.99
22.34,112.24,2.0,89.9
19.08,717.76,1.0,339.8
13.63,100.62,1.0,86.99
16.88,106.69,2.0,89.81
57.5,58.65,1.0,59.8
52.86,1013.32,10.0,453.8
18.38,176.15,2.0,157.77
27.47,194.37,6.0,166.9
12.61,80.51,1.0,67.9
26.27,231.27,5.0,205.0
32.33,272.32,1.0,239.99
27.95,227.94,4.0,199.99
30.2,234.0,5.0,86.8
16.99,95.99,1.0,79.0
12.79,62.78,4.0,49.99
14.43,114.42,1.0,99.99
31.16,261.16,5.0,230.0
16.6,51.5,3.0,34.9
12.14,162.04,8.0,149.9
15.15,72.14,2.0,56.99
12.79,48.79,3.0,36.0
84.39,204.38,1.0,119.99
16.32,96.32,4.0,80.0
19.37,76.34,2.0,56.97
7.42,87.32,2.0,79.9
16.81,96.8,3.0,79.99
11.91,69.91,4.0,58.0
17.99,171.99,1.0,154.0
0.0,215.6,2.0,107.8
18.01,127.01,2.0,109.0
8.97,183.97,1.0,175.0
30.22,260.04,2.0,99.8
19.32,59.22,1.0,39.9
26.2,352.0,10.0,149.8
11.85,19.35,1.0,7.5
13.71,52.71,1.0,39.0
17.99,347.89,1.0,329.9
7.95,106.95,1.0,99.0
15.73,155.63,1.0,139.9
87.12,3226.68,10.0,988.44
11.85,27.75,1.0,15.9
23.19,267.57,1.0,66.0
14.79,254.78,1.0,239.99
16.75,96.65,4.0,79.9
17.02,127.01,5.0,109.99
42.34,191.34,3.0,149.0
27.51,102.51,2.0,75.0
17.96,167.86,1.0,149.9
18.23,68.18,5.0,49.95
36.46,176.52,1.0,51.8
7.44,32.44,1.0,25.0
31.12,63.56,1.0,96.0
17.89,186.89,5.0,169.0
23.7,123.36,5.0,37.98
43.11,143.1,8.0,99.99
11.85,24.84,1.0,12.99
16.25,86.15,8.0,69.9
11.85,60.85,1.0,49.0
17.62,87.52,1.0,69.9
8.11,130.1,4.0,121.99
18.23,67.13,1.0,48.9
9.09,48.99,4.0,39.9
11.36,311.35,5.0,299.99
7.87,47.37,1.0,39.5
31.18,341.96,5.0,139.8
9.73,149.5,1.0,139.77
31.26,302.12,3.0,119.8
17.63,57.53,1.0,39.9
7.79,82.79,1.0,75.0
23.1,98.0,2.0,74.9
54.46,628.52,4.0,259.8
8.88,71.78,3.0,62.9
14.1,54.0,1.0,39.9
16.79,56.69,1.0,39.9
16.11,66.1,1.0,49.99
9.7,358.5,1.0,348.8
14.2,79.19,3.0,64.99
13.44,72.93,1.0,59.49
21.61,181.6,1.0,159.99
23.35,101.25,1.0,77.9
15.66,131.65,3.0,115.99
58.07,912.99,8.0,246.26
69.72,4198.32,1.0,630.0
16.15,215.15,4.0,199.0
16.11,58.11,1.0,42.0
11.85,37.84,1.0,25.99
8.72,18.62,1.0,9.9
7.39,82.39,1.0,75.0
7.78,21.77,1.0,13.99
16.14,71.04,4.0,54.9
12.79,22.69,1.0,9.9
17.86,104.76,4.0,86.9
14.1,49.0,1.0,34.9
33.0,132.99,2.0,99.99
41.78,1679.16,1.0,797.8
16.17,74.72,5.0,58.55
32.48,416.96,1.0,176.0
26.67,225.67,1.0,199.0
8.88,41.88,1.0,33.0
48.33,126.33,1.0,78.0
15.1,35.0,1.0,19.9
26.98,155.98,2.0,129.0
15.16,74.16,5.0,59.0
15.39,105.38,3.0,89.99
23.0,82.9,1.0,59.9
9.06,53.96,1.0,44.9
21.12,111.02,5.0,89.9
0.0,199.0,1.0,199.0
12.76,72.66,4.0,59.9
7.78,21.48,1.0,13.7
22.16,87.15,1.0,64.99
25.02,509.64,1.0,229.8
17.0,116.9,1.0,99.9
18.26,41.26,1.0,23.0
18.26,40.58,1.0,22.32
15.27,90.17,3.0,74.9
17.6,57.59,2.0,39.99
20.4,50.3,1.0,29.9
22.92,444.92,4.0,422.0
8.0,102.0,1.0,94.0
13.86,133.86,10.0,120.0
38.55,181.55,4.0,143.0
14.08,83.98,3.0,69.9
15.17,75.17,1.0,60.0
15.38,55.28,1.0,39.9
9.26,43.25,1.0,33.99
11.64,156.63,1.0,144.99
90.6,1620.0,1.0,179.39999999999998
37.04,86.94,8.0,49.9
36.84,145.84,1.0,109.0
26.81,96.71,1.0,69.9
45.12,194.12,10.0,149.0
21.26,131.16,1.0,109.9
8.75,88.74,2.0,79.99
13.62,99.52,8.0,85.9
23.48,163.47,1.0,139.99
17.95,72.85,1.0,54.9
17.63,57.63,2.0,40.0
12.24,157.24,1.0,145.0
35.34,310.28,3.0,119.8
15.39,57.39,1.0,42.0
13.47,48.37,1.0,34.9
21.18,76.17,1.0,54.99
12.16,106.51,1.0,94.35
17.94,116.84,1.0,98.9
11.73,48.63,1.0,36.9
12.79,23.69,2.0,10.9
21.62,1210.62,10.0,1189.0
13.72,113.72,5.0,100.0
12.93,62.63,1.0,49.7
31.72,1462.72,1.0,333.96
15.16,215.06,8.0,199.9
17.06,36.95,1.0,19.89
15.1,64.1,1.0,49.0
21.5,115.5,1.0,94.0
9.44,29.34,1.0,19.9
13.17,131.75,1.0,118.58
34.27,164.26,1.0,129.99
18.03,177.93,1.0,159.9
22.72,241.44,3.0,98.0
30.34,300.28,3.0,119.8
13.25,262.75,5.0,249.5
7.71,37.61,1.0,29.9
7.58,53.58,1.0,46.0
17.23,157.13,3.0,139.9
18.09,137.99,3.0,119.9
48.24,187.24,2.0,139.0
23.46,98.46,1.0,75.0
22.3,86.14,1.0,149.98
14.1,63.1,3.0,49.0
15.28,90.28,2.0,75.0
27.06,792.06,1.0,765.0
12.0,151.9,2.0,139.9
18.72,138.62,10.0,119.9
212.2,8780.5,10.0,3300.0
25.63,44.53,1.0,18.9
7.78,25.77,1.0,17.99
15.1,21.1,2.0,6.0
7.78,24.68,1.0,16.9
7.78,81.78,3.0,74.0
12.74,69.73,1.0,56.99
10.96,43.86,1.0,32.9
70.72,1273.28,6.0,247.6
36.59,286.78,3.0,106.8
10.67,275.67,5.0,265.0
11.85,41.84,1.0,29.99
26.92,81.82,6.0,54.9
8.27,52.59,1.0,44.32
26.53,171.51,1.0,144.98
9.74,37.54,1.0,27.8
35.67,80.57,3.0,44.9
15.1,54.6,1.0,39.5
15.79,39.78,2.0,23.99
9.94,54.93,1.0,44.99
28.59,258.49,4.0,229.9
38.08,58.94,5.0,79.8
23.1,98.0,1.0,74.9
15.52,123.52,2.0,108.0
22.3,114.72,1.0,35.06
12.26,92.25,1.0,79.99
7.78,21.38,1.0,13.6
26.2,220.19,10.0,193.99
21.82,131.81,2.0,109.99
18.59,88.09,1.0,69.5
8.27,27.6,2.0,19.33
15.61,138.6,7.0,122.99
21.26,131.26,2.0,110.0
23.43,103.42,2.0,79.99
11.95,76.95,3.0,65.0
16.28,216.64,3.0,200.36
97.32,1996.32,10.0,1899.0
15.1,52.1,3.0,37.0
7.78,42.78,1.0,35.0
67.07,236.07,3.0,169.0
13.08,87.08,1.0,74.0
42.3,280.6,7.0,98.0
12.88,44.66,1.0,31.78
27.42,396.32,5.0,368.9
18.53,278.43,3.0,259.9
27.07,117.07,1.0,90.0
37.97,97.87,1.0,59.9
16.79,22.78,2.0,5.99
27.0,92.9,2.0,65.9
22.75,201.75,4.0,179.0
25.35,514.35,8.0,489.0
25.13,1075.74,10.0,1050.61
27.62,223.81,3.0,420.0
27.17,117.07,10.0,89.9
32.8,282.8,8.0,250.0
15.46,200.45,2.0,184.99
29.95,89.94,1.0,59.99
17.37,177.27,1.0,159.9
14.52,41.51,4.0,26.99
64.44,881.6,6.0,155.96
18.54,40.17,1.0,61.8
12.7,155.2,1.0,142.5
16.8,95.8,1.0,79.0
11.85,37.84,1.0,25.99
14.15,74.05,1.0,59.9
70.0,229.9,1.0,159.9
16.35,245.35,5.0,229.0
11.85,55.85,1.0,44.0
27.96,167.86,3.0,139.9
25.91,115.21,3.0,89.3
35.67,503.14,5.0,215.9
27.34,141.14,2.0,113.8
13.37,63.27,1.0,49.9
15.3,43.29,1.0,27.99
24.84,45.74,1.0,20.9
89.34,884.34,10.0,795.0
13.76,119.66,1.0,105.9
8.88,70.88,2.0,62.0
19.98,89.88,1.0,69.9
14.51,174.41,1.0,159.9
18.98,175.98,5.0,157.0
7.45,34.44,1.0,26.99
9.34,36.24,1.0,26.9
9.72,67.71,5.0,57.99
13.77,338.77,1.0,325.0
14.1,31.0,1.0,16.9
16.03,180.93,3.0,164.9
25.38,250.36,2.0,99.8
17.8,96.8,9.0,79.0
22.38,364.76,1.0,160.0
27.8,207.79,1.0,179.99
16.11,56.01,1.0,39.9
14.52,44.42,2.0,29.9
17.06,42.55,1.0,25.49
13.74,68.64,1.0,54.9
9.12,89.11,1.0,79.99
16.79,27.78,1.0,10.99
18.72,107.72,1.0,89.0
16.19,96.19,1.0,80.0
17.92,112.95,1.0,95.03
17.45,161.86,2.0,144.41
18.03,82.02,3.0,63.99
17.43,116.43,1.0,99.0
17.63,57.53,2.0,39.9
24.01,623.01,9.0,599.0
14.61,57.58,1.0,42.97
14.1,44.09,1.0,29.99
14.1,54.09,1.0,39.99
17.42,157.32,1.0,139.9
11.83,391.73,8.0,379.9
8.27,33.17,1.0,24.9
17.93,115.42,4.0,97.49
19.63,209.53,4.0,189.9
39.38,229.28,4.0,189.9
9.17,128.17,2.0,119.0
36.36,116.34,3.0,79.98
11.85,61.75,4.0,49.9
12.74,69.73,1.0,56.99
7.87,18.87,1.0,11.0
16.32,241.32,10.0,225.0
86.81,952.53,10.0,230.7
15.8,165.8,7.0,150.0
13.07,71.07,2.0,58.0
23.98,223.88,8.0,199.9
13.88,56.88,5.0,43.0
12.89,91.89,2.0,79.0
15.73,155.72,1.0,139.99
8.88,48.78,1.0,39.9
14.1,64.09,1.0,49.99
16.49,265.49,8.0,249.0
17.64,94.88,1.0,29.8
30.0,336.0,6.0,138.0
38.47,98.37,3.0,59.9
26.0,371.6,1.0,159.8
15.73,155.63,6.0,139.9
117.99,667.99,10.0,550.0
7.39,42.29,1.0,34.9
17.76,107.76,2.0,90.0
23.84,172.84,10.0,149.0
16.4,107.4,1.0,91.0
32.22,244.44,1.0,90.0
15.31,95.21,3.0,79.9
18.92,115.92,1.0,97.0
7.78,26.68,1.0,18.9
17.48,96.48,1.0,79.0
14.78,228.76,1.0,99.6
21.28,141.28,6.0,120.0
69.45,487.45,6.0,418.0
36.39,357.81,1.0,82.88
16.37,246.36,1.0,229.99
14.7,149.7,2.0,135.0
7.78,56.78,2.0,49.0
38.53,178.52,1.0,139.99
20.88,89.87,1.0,68.99
21.32,140.22,5.0,118.9
23.29,93.19,4.0,69.9
26.78,126.68,1.0,99.9
14.5,73.4,2.0,58.9
11.77,141.67,2.0,129.9
24.05,133.95,1.0,109.9
7.78,47.68,1.0,39.9
28.04,307.94,8.0,279.9
72.82,945.24,20.0,399.8
21.67,146.66,2.0,124.99
16.05,201.04,3.0,184.99
16.14,70.04,1.0,53.9
15.56,167.12,1.0,68.0
45.12,194.12,1.0,149.0
12.94,52.93,5.0,39.99
18.86,248.85,1.0,229.99
15.7,105.6,2.0,89.9
19.77,133.62,2.0,113.85
35.26,250.12,1.0,89.8
65.21,174.21,1.0,109.0
