total_freight_value,total_payment,payment_installments,total_price
18.04,207.46,3.0,189.42
17.09,61.44,3.0,44.35
15.23,62.88,3.0,47.65
14.11,34.01,1.0,19.9
22.91,107.9,4.0,84.99
39.18,190.37,1.0,149.99
12.04,131.94,2.0,119.9
16.11,75.11,3.0,59.0
9.27,58.27,2.0,49.0
15.1,50.1,1.0,35.0
11.73,66.22,2.0,54.49
17.35,147.25,5.0,129.9
16.54,169.08,5.0,68.0
14.72,118.72,1.0,104.0
16.73,85.73,6.0,69.0
23.28,55.28,1.0,32.0
35.56,130.72,1.0,29.8
12.69,51.69,5.0,39.0
8.29,70.28,1.0,61.99
14.52,124.42,4.0,109.9
19.94,119.84,5.0,99.9
26.26,166.16,3.0,139.9
15.76,159.56,1.0,143.8
7.39,29.38,1.0,21.99
34.15,147.15,1.0,113.0
30.46,124.88,6.0,31.98
18.0,111.96,5.0,37.98
7.78,23.68,1.0,15.9
15.1,50.0,1.0,34.9
14.52,43.52,2.0,29.0
19.5,95.4,3.0,75.9
13.5,133.4,6.0,119.9
15.23,41.13,1.0,25.9
27.41,47.41,1.0,20.0
12.69,22.68,1.0,9.99
19.32,69.22,3.0,49.9
7.39,25.88,2.0,18.49
30.2,130.0,5.0,99.8
19.04,48.04,1.0,29.0
8.66,243.55,1.0,234.89
15.1,55.09,3.0,39.99
17.87,106.87,6.0,89.0
21.86,195.86,2.0,174.0
8.88,75.78,1.0,66.9
7.78,37.77,2.0,29.99
11.85,29.84,1.0,17.99
8.88,68.87,2.0,59.99
16.83,235.83,1.0,219.0
9.23,77.22,1.0,67.99
14.19,69.18,2.0,54.99
17.97,197.46,3.0,179.49
8.35,164.32,5.0,155.97
13.23,38.22,1.0,24.99
15.23,83.22,4.0,67.99
18.31,48.3,1.0,29.99
12.48,31.38,1.0,18.9
7.78,27.68,2.0,19.9
14.52,44.42,2.0,29.9
36.85,206.84,4.0,169.99
18.54,73.54,6.0,55.0
15.1,50.09,1.0,34.99
12.79,42.47,4.0,29.68
16.07,204.07,1.0,188.0
30.2,251.2,5.0,95.4
17.67,77.57,6.0,59.9
13.5,38.5,1.0,25.0
16.79,56.78,4.0,39.99
14.1,64.0,1.0,49.9
18.0,257.6,3.0,110.8
11.03,70.93,1.0,59.9
11.42,68.32,3.0,56.9
12.81,242.8,1.0,229.99
18.23,53.22,3.0,34.99
37.08,310.28,2.0,124.98
7.56,27.46,1.0,19.9
13.0,92.9,3.0,79.9
14.1,42.0,1.0,27.9
11.85,29.75,1.0,17.9
14.59,134.59,1.0,120.0
15.1,35.09,3.0,19.99
38.32,148.32,4.0,110.0
15.1,64.1,2.0,49.0
17.63,67.53,1.0,49.9
18.16,148.15,3.0,129.99
15.22,82.2,7.0,66.98
18.35,128.35,2.0,110.0
11.73,26.58,1.0,14.85
14.1,44.09,1.0,29.99
13.71,46.71,4.0,33.0
16.54,66.44,1.0,49.9
7.78,31.68,3.0,23.9
8.98,98.97,1.0,89.99
9.34,55.24,5.0,45.9
16.46,116.45,2.0,99.99
17.65,217.55,1.0,199.9
37.400000000000006,310.28,1.0,119.98
15.1,50.09,5.0,34.99
14.1,52.09,1.0,37.99
36.42,308.8,3.0,117.98
7.87,50.87,3.0,43.0
21.74,150.74,3.0,129.0
15.79,164.79,3.0,149.0
15.41,59.41,1.0,44.0
15.23,45.22,1.0,29.99
32.22,104.02,1.0,71.8
17.6,67.5,5.0,49.9
30.31,200.21,1.0,169.9
9.59,129.49,1.0,119.9
18.54,88.44,1.0,69.9
16.6,52.5,1.0,35.9
23.75,159.65,3.0,135.9
15.2,80.2,7.0,65.0
7.94,92.83,1.0,84.89
11.85,60.85,3.0,49.0
15.12,110.24,1.0,40.0
16.95,36.85,1.0,19.9
16.37,111.37,1.0,95.0
18.64,138.64,1.0,120.0
8.29,47.19,1.0,38.9
27.17,117.16,6.0,89.99
34.15,74.05,7.0,39.9
18.3,78.2,5.0,59.9
15.1,45.0,1.0,29.9
25.38,234.36,4.0,91.8
15.23,62.22,1.0,46.99
8.99,97.99,5.0,89.0
16.39,106.09,2.0,89.7
20.84,193.28,1.0,75.8
12.38,162.28,8.0,149.9
17.06,35.96,1.0,18.9
15.94,135.84,5.0,119.9
18.94,138.84,1.0,119.9
29.95,224.95,4.0,195.0
14.2,79.2,3.0,65.0
14.1,49.0,1.0,34.9
8.29,26.29,1.0,18.0
10.96,24.86,2.0,13.9
14.66,84.16,1.0,69.5
16.04,73.94,1.0,57.9
14.93,183.93,4.0,169.0
19.01,78.91,1.0,59.9
9.94,57.43,1.0,47.49
18.9,254.33,5.0,235.43
21.5,141.5,2.0,120.0
15.32,240.32,5.0,225.0
12.69,61.59,5.0,48.9
17.6,67.5,1.0,49.9
7.41,29.31,1.0,21.9
13.14,253.14,2.0,240.0
8.78,91.78,6.0,83.0
38.53,137.53,2.0,99.0
15.1,58.0,2.0,42.9
30.2,148.0,1.0,43.8
7.78,31.77,3.0,23.99
34.59,184.56,3.0,149.97
12.79,30.69,1.0,17.9
25.4,175.3,1.0,149.9
18.88,217.76,5.0,90.0
7.87,17.87,1.0,10.0
7.78,56.78,5.0,49.0
9.94,34.84,1.0,24.9
18.28,51.28,1.0,33.0
18.23,47.03,1.0,28.8
7.39,35.29,1.0,27.9
9.94,29.84,2.0,19.9
17.66,75.66,3.0,58.0
12.92,49.67,1.0,36.75
18.82,95.72,1.0,76.9
15.32,47.22,2.0,31.9
22.17,227.25,1.0,53.58
19.09,278.09,1.0,259.0
22.93,48.61,1.0,25.68
15.56,179.12,7.0,74.0
23.31,236.22,1.0,94.8
9.27,40.76,1.0,31.49
22.61,100.51,1.0,77.9
19.21,299.2,5.0,279.9
15.12,68.12,1.0,53.0
15.15,72.05,1.0,56.9
13.29,72.19,4.0,58.9
16.14,215.14,4.0,199.0
9.27,36.17,1.0,26.9
15.47,99.27,2.0,83.8
26.09,141.09,3.0,115.0
14.1,37.0,3.0,22.9
9.09,48.99,4.0,39.9
15.69,150.59,7.0,134.9
19.04,59.03,5.0,39.99
15.1,30.58,1.0,15.48
18.08,136.08,1.0,118.0
16.92,47.02,1.0,30.1
13.69,171.59,1.0,157.9
9.06,69.05,1.0,59.99
30.46,120.52,1.0,29.8
17.13,45.12,1.0,27.99
15.1,28.09,2.0,12.99
18.79,117.69,6.0,98.9
16.82,106.72,8.0,89.9
8.72,48.62,3.0,39.9
19.43,139.42,1.0,119.99
8.32,88.31,4.0,79.99
15.17,75.07,1.0,59.9
16.11,46.01,4.0,29.9
22.67,65.57,1.0,42.9
13.08,82.98,1.0,69.9
27.2,187.1,8.0,159.9
32.21,200.21,4.0,168.0
8.88,63.28,1.0,54.4
17.34,172.34,3.0,155.0
8.88,83.87,4.0,74.99
15.85,173.62,1.0,157.77
14.52,43.52,1.0,29.0
17.67,77.57,7.0,59.9
36.93,166.87,4.0,129.94
0.0,99.9,1.0,99.9
7.39,17.38,1.0,9.99
7.88,97.78,2.0,89.9
12.82,111.82,1.0,99.0
16.96,206.96,2.0,190.0
16.6,45.5,1.0,28.9
8.29,30.28,1.0,21.99
15.73,154.73,1.0,139.0
17.06,35.85,1.0,18.79
14.13,74.03,7.0,59.9
17.97,115.97,1.0,98.0
14.52,64.42,6.0,49.9
16.81,166.71,3.0,149.9
23.85,173.75,2.0,149.9
15.56,42.68,4.0,27.12
13.78,73.68,1.0,59.9
12.32,129.32,3.0,117.0
13.31,106.31,8.0,93.0
14.1,31.0,3.0,16.9
15.5,122.5,1.0,107.0
7.78,82.09,1.0,74.31
15.3,93.3,1.0,78.0
16.05,35.04,3.0,18.99
15.11,73.48,7.0,49.9
13.44,73.34,7.0,59.9
14.1,54.0,1.0,39.9
19.59,56.38,1.0,36.79
14.51,213.51,2.0,199.0
18.23,68.13,3.0,49.9
12.7,64.3,2.0,51.6
13.71,62.61,1.0,48.9
12.8,69.77,3.0,56.97
12.29,167.58,4.0,155.29
8.72,53.7,1.0,44.98
15.11,130.01,6.0,114.9
16.6,136.6,5.0,120.0
30.2,220.36,5.0,79.98
15.1,45.09,1.0,29.99
13.13,111.13,2.0,98.0
14.86,113.86,1.0,99.0
11.42,127.42,1.0,116.0
11.74,58.74,1.0,47.0
19.66,79.56,2.0,59.9
8.72,38.62,3.0,29.9
17.6,207.5,1.0,189.9
15.74,101.44,1.0,34.98
34.53,176.17,5.0,141.64
22.85,47.84,1.0,24.99
17.6,57.5,5.0,39.9
8.71,203.71,1.0,195.0
17.6,59.6,2.0,42.0
23.1,97.16,3.0,74.06
15.37,104.37,3.0,89.0
21.36,170.36,5.0,149.0
19.19,59.09,2.0,39.9
17.23,87.22,3.0,69.99
13.87,55.86,2.0,41.99
25.7,283.4,5.0,116.0
36.37,186.27,3.0,149.9
14.31,89.31,8.0,75.0
16.79,45.79,2.0,29.0
12.92,49.74,1.0,36.82
36.46,114.92,5.0,21.0
17.44,154.84,1.0,59.98
14.29,59.09,1.0,44.8
20.08,105.08,4.0,85.0
27.5,196.5,8.0,169.0
15.1,42.0,1.0,26.9
16.05,46.04,4.0,29.99
15.7,101.7,2.0,86.0
21.64,101.63,1.0,79.99
8.72,36.72,1.0,28.0
17.97,166.97,1.0,149.0
14.1,46.1,1.0,32.0
14.1,45.9,4.0,31.8
11.74,27.64,1.0,15.9
18.09,138.08,1.0,119.99
16.11,63.11,6.0,47.0
36.46,120.88,2.0,23.98
17.0,96.9,2.0,79.9
13.01,62.91,1.0,49.9
13.86,133.85,1.0,119.99
13.32,153.22,5.0,139.9
19.89,163.69,5.0,143.8
14.28,89.28,8.0,75.0
9.12,119.11,2.0,109.99
38.27,137.27,4.0,99.0
11.85,51.84,3.0,39.99
17.94,116.94,2.0,99.0
7.87,59.36,1.0,51.49
22.44,95.34,1.0,72.9
15.1,43.09,1.0,27.99
13.52,84.49,1.0,70.97
11.85,56.85,3.0,45.0
16.17,74.17,1.0,58.0
9.34,44.24,3.0,34.9
14.52,49.42,1.0,34.9
24.73,297.46,6.0,124.0
26.94,125.84,1.0,35.98
29.88,69.88,3.0,40.0
15.1,54.1,3.0,39.0
35.67,65.67,6.0,30.0
18.15,146.71,3.0,128.56
11.9,111.89,2.0,99.99
7.39,23.29,1.0,15.9
18.02,127.92,2.0,109.9
12.79,53.79,1.0,41.0
18.06,88.06,1.0,70.0
14.1,38.6,3.0,24.5
23.2,111.2,3.0,88.0
12.34,132.24,1.0,119.9
23.35,133.25,2.0,109.9
23.34,234.28,1.0,93.8
33.79,277.18,1.0,104.8
12.45,90.45,2.0,78.0
9.77,87.77,1.0,78.0
11.85,41.75,1.0,29.9
19.66,274.63,8.0,254.97
21.63,196.63,4.0,175.0
14.13,73.03,1.0,58.9
9.16,68.06,1.0,58.9
22.27,137.16,1.0,114.89
16.11,55.01,5.0,38.9
14.62,79.62,1.0,65.0
8.81,108.3,2.0,99.49
13.44,73.34,7.0,59.9
9.37,98.37,4.0,89.0
39.18,179.36,8.0,139.0
19.6,308.6,4.0,279.9
18.23,56.22,1.0,37.99
15.23,30.23,1.0,15.0
7.39,51.29,2.0,43.9
10.01,190.01,1.0,180.0
7.39,40.29,2.0,32.9
18.84,127.84,6.0,109.0
14.31,94.31,6.0,80.0
17.2,56.09,2.0,38.89
15.11,59.9,1.0,44.79
18.44,67.44,1.0,49.0
9.34,44.24,2.0,34.9
13.57,92.57,1.0,79.0
15.15,72.14,1.0,56.99
16.8,67.79,1.0,50.99
20.91,80.81,1.0,59.9
18.57,117.57,2.0,99.0
18.33,126.33,1.0,108.0
12.22,157.21,1.0,144.99
12.75,71.65,1.0,58.9
14.1,44.09,4.0,29.99
12.86,72.76,1.0,59.9
18.08,210.08,2.0,192.0
25.63,40.13,4.0,14.5
12.96,101.91,6.0,88.95
12.82,200.76,1.0,187.94
17.94,116.94,2.0,99.0
11.73,60.63,1.0,48.9
7.39,16.39,1.0,9.0
22.67,52.57,1.0,29.9
13.49,66.39,1.0,52.9
18.68,132.96,3.0,47.8
39.18,98.32,1.0,55.65
16.09,206.99,1.0,190.9
27.71,167.31,8.0,139.6
27.24,127.14,8.0,99.9
17.6,50.5,1.0,32.9
15.1,40.0,2.0,24.9
13.08,42.58,1.0,29.5
17.7,197.7,4.0,180.0
18.4,61.4,4.0,43.0
26.74,203.48,7.0,75.0
13.71,63.61,1.0,49.9
23.36,103.26,3.0,79.9
17.4,310.28,1.0,279.9
27.94,281.88,1.0,113.0
14.1,54.0,1.0,39.9
12.76,27.88,1.0,15.12
13.18,253.08,6.0,239.9
27.66,195.32,1.0,70.0
15.1,26.7,1.0,11.6
21.64,70.58,1.0,48.94
12.26,91.26,1.0,79.0
8.47,52.47,1.0,44.0
29.04,257.28,1.0,99.6
7.78,19.77,1.0,11.99
14.7,153.7,4.0,139.0
17.74,87.04,1.0,69.3
18.24,37.54,1.0,19.3
7.39,19.64,1.0,12.25
20.09,180.08,1.0,159.99
20.25,165.24,3.0,144.99
14.1,43.6,4.0,29.5
21.02,96.02,1.0,75.0
16.11,36.01,1.0,19.9
12.76,72.75,1.0,59.99
15.68,134.68,2.0,119.0
14.1,64.09,1.0,49.99
11.15,62.63,1.0,51.48
9.25,87.24,4.0,77.99
9.1,59.0,1.0,49.9
38.94,237.84,6.0,79.98
14.1,46.0,1.0,31.9
21.78,121.78,2.0,100.0
38.53,107.53,1.0,69.0
10.25,145.15,2.0,134.9
14.77,111.76,4.0,96.99
15.1,39.6,2.0,24.5
14.1,64.0,2.0,49.9
14.48,143.48,2.0,129.0
14.78,64.68,3.0,49.9
28.92,270.64,8.0,106.4
16.12,211.12,2.0,195.0
7.71,26.61,1.0,18.9
11.85,29.75,2.0,17.9
14.78,149.52,7.0,59.98
0.0,53.9,1.0,53.9
16.13,69.13,2.0,53.0
19.75,235.31,4.0,215.56
15.1,53.0,1.0,37.9
39.18,132.59,3.0,89.9
7.71,66.71,1.0,59.0
39.18,283.56,4.0,99.8
16.35,100.85,3.0,84.5
16.36,246.26,4.0,229.9
19.07,136.97,2.0,117.9
18.26,40.46,1.0,22.2
18.24,38.14,2.0,19.9
9.21,289.11,8.0,279.9
7.6,56.1,1.0,48.5
19.89,119.79,2.0,99.9
15.48,119.48,1.0,104.0
15.79,30.69,3.0,14.9
13.6,96.59,2.0,82.99
24.47,213.47,5.0,189.0
36.69,121.69,1.0,85.0
15.43,112.92,2.0,97.49
14.82,87.42,1.0,72.6
13.97,69.87,1.0,55.9
32.22,264.04,1.0,99.8
23.35,133.25,1.0,109.9
12.48,31.38,1.0,18.9
7.39,34.29,1.0,26.9
28.88,97.88,1.0,69.0
36.46,252.52,2.0,89.8
7.39,25.29,1.0,17.9
13.65,63.55,3.0,49.9
8.72,28.62,2.0,19.9
11.85,31.75,3.0,19.9
16.94,87.84,8.0,70.9
15.65,144.54,6.0,128.89
11.19,36.09,1.0,24.9
21.39,106.39,4.0,85.0
16.05,65.05,1.0,49.0
26.57,96.47,1.0,69.9
23.37,105.37,1.0,82.0
11.74,47.64,1.0,35.9
15.61,138.6,2.0,122.99
23.0,143.0,2.0,120.0
24.55,264.54,1.0,239.99
15.98,140.98,5.0,125.0
17.06,41.96,3.0,24.9
15.1,45.03,1.0,29.93
13.32,123.22,1.0,109.9
15.0,133.9,1.0,118.9
12.77,73.77,2.0,61.0
30.4,310.28,2.0,130.0
7.78,67.77,1.0,59.99
8.88,59.78,1.0,50.9
9.26,58.16,1.0,48.9
14.65,143.65,2.0,129.0
9.09,37.99,1.0,28.9
7.78,42.77,4.0,34.99
12.27,122.27,1.0,110.0
18.31,48.21,2.0,29.9
14.1,34.09,1.0,19.99
14.72,149.72,1.0,135.0
14.1,37.8,1.0,23.7
13.08,88.08,1.0,75.0
14.6,159.6,1.0,145.0
11.85,40.85,4.0,29.0
15.1,50.1,1.0,35.0
14.1,44.0,1.0,29.9
8.72,26.61,1.0,17.89
23.7,163.0,1.0,57.8
38.08,164.16,1.0,44.0
39.18,310.28,3.0,278.0
34.26,163.06,3.0,128.8
7.78,52.28,1.0,44.5
27.42,192.24,2.0,68.7
14.1,36.0,3.0,21.9
15.05,304.95,1.0,279.9
15.15,72.14,1.0,56.99
15.1,26.09,1.0,10.99
14.1,40.0,1.0,25.9
34.15,54.14,5.0,19.99
23.46,273.36,6.0,249.9
15.43,207.43,2.0,192.0
18.23,40.13,1.0,21.9
27.91,206.91,1.0,179.0
16.44,51.44,1.0,35.0
19.69,91.69,2.0,72.0
21.66,138.96,4.0,117.3
17.99,77.89,1.0,59.9
17.1,111.6,3.0,94.5
15.88,175.87,1.0,159.99
20.8,57.8,5.0,37.0
11.18,90.18,3.0,79.0
13.7,193.6,2.0,179.9
13.88,88.78,6.0,74.9
18.18,168.08,2.0,149.9
8.72,33.22,1.0,24.5
10.96,60.95,1.0,49.99
15.1,34.1,1.0,19.0
7.78,22.77,1.0,14.99
14.1,27.0,1.0,12.9
16.79,56.37,1.0,39.58
23.19,109.69,1.0,86.5
14.52,49.42,1.0,34.9
30.34,300.28,2.0,119.8
15.45,114.45,1.0,99.0
7.94,27.84,1.0,19.9
28.2,216.0,3.0,79.8
7.44,32.44,1.0,25.0
16.53,126.48,1.0,109.95
18.94,138.94,1.0,120.0
22.35,82.34,1.0,59.99
16.35,245.35,5.0,229.0
15.86,108.86,2.0,93.0
16.74,86.73,1.0,69.99
38.46,228.52,5.0,75.8
22.07,42.07,1.0,20.0
8.27,48.27,1.0,40.0
12.77,73.76,7.0,60.99
23.73,73.63,3.0,49.9
15.24,85.14,1.0,69.9
23.39,108.29,1.0,84.9
8.27,71.27,2.0,63.0
11.86,57.85,1.0,45.99
9.68,144.58,2.0,134.9
19.7,124.7,2.0,105.0
14.86,173.86,2.0,159.0
35.26,158.52,7.0,44.0
7.94,35.84,1.0,27.9
15.97,190.87,8.0,174.9
18.14,223.14,7.0,205.0
16.0,175.77,5.0,159.77
10.96,47.96,1.0,37.0
18.23,48.13,1.0,29.9
15.73,155.63,2.0,139.9
13.72,113.71,2.0,99.99
26.24,130.24,2.0,104.0
21.31,157.21,3.0,135.9
30.56,249.56,5.0,219.0
15.23,50.13,5.0,34.9
10.96,16.86,1.0,5.9
8.03,118.35,1.0,110.32
16.11,41.71,2.0,25.6
13.49,178.49,2.0,165.0
9.09,114.09,1.0,105.0
12.69,34.59,1.0,21.9
0.0,99.9,1.0,99.9
13.33,108.33,3.0,95.0
11.15,60.43,2.0,49.28
34.53,138.53,3.0,104.0
13.92,142.92,2.0,129.0
17.41,117.31,1.0,99.9
23.98,223.88,2.0,199.9
23.31,128.31,3.0,105.0
13.93,143.43,4.0,129.5
13.34,292.11,1.0,278.77
17.29,165.29,1.0,148.0
33.96,93.86,4.0,59.9
15.66,145.65,1.0,129.99
16.6,277.0,3.0,121.9
15.79,164.79,1.0,149.0
21.29,141.28,1.0,119.99
15.17,75.07,3.0,59.9
7.87,37.47,3.0,29.6
22.56,202.46,1.0,179.9
18.04,131.34,4.0,113.3
7.39,22.29,1.0,14.9
14.16,73.16,1.0,59.0
7.78,20.28,2.0,12.5
16.11,59.11,1.0,43.0
15.1,34.6,1.0,19.5
38.57,243.57,5.0,205.0
15.11,55.01,5.0,39.9
14.75,108.65,2.0,93.9
12.83,67.83,2.0,55.0
37.39,137.38,1.0,99.99
30.88,257.76,1.0,98.0
17.6,39.6,3.0,22.0
19.2,176.2,4.0,157.0
39.18,171.04,2.0,45.0
24.62,84.12,4.0,59.5
18.76,144.01,1.0,125.25
19.25,98.94,3.0,79.69
30.2,208.4,1.0,74.0
24.36,94.36,5.0,70.0
13.78,73.78,1.0,60.0
15.45,65.35,1.0,49.9
18.03,177.93,5.0,159.9
8.72,55.21,1.0,46.49
10.6,67.57,1.0,56.97
16.6,51.5,1.0,34.9
8.82,23.72,1.0,14.9
15.94,185.84,1.0,169.9
18.73,138.63,5.0,119.9
7.78,17.28,1.0,9.5
15.1,45.09,1.0,29.99
13.16,185.06,1.0,171.9
18.48,73.38,1.0,54.9
7.96,39.21,1.0,31.25
34.15,47.45,1.0,13.3
11.85,31.75,1.0,19.9
18.23,38.13,1.0,19.9
13.64,56.54,3.0,42.9
18.16,148.15,6.0,129.99
9.73,69.53,2.0,59.8
18.05,87.05,3.0,69.0
29.79,114.79,1.0,85.0
16.79,41.69,4.0,24.9
25.63,44.62,1.0,18.99
25.79,174.49,6.0,148.7
23.81,178.81,4.0,155.0
18.72,228.62,2.0,209.9
13.69,63.89,4.0,50.2
23.29,124.79,3.0,101.5
7.78,32.77,1.0,24.99
14.11,54.01,5.0,39.9
14.1,54.0,1.0,39.9
10.96,45.86,1.0,34.9
17.0,101.9,1.0,84.9
17.59,166.59,1.0,149.0
7.78,67.77,2.0,59.99
15.8,165.8,1.0,150.0
20.24,80.14,8.0,59.9
14.68,67.58,3.0,52.9
7.78,31.77,1.0,23.99
11.85,55.85,1.0,44.0
9.06,52.95,1.0,43.89
11.44,71.34,1.0,59.9
17.16,217.15,8.0,199.99
15.36,84.36,8.0,69.0
17.63,52.53,2.0,34.9
32.22,244.04,1.0,89.8
21.15,49.05,1.0,27.9
22.93,47.83,3.0,24.9
12.6,170.37,1.0,157.77
14.08,249.08,8.0,235.0
18.23,36.13,3.0,17.9
14.86,93.86,6.0,79.0
15.84,170.84,5.0,155.0
11.85,56.85,1.0,45.0
22.98,172.97,3.0,149.99
8.89,28.88,1.0,19.99
7.39,42.39,2.0,35.0
39.18,95.33,2.0,52.9
21.05,100.55,2.0,79.5
7.79,37.69,1.0,29.9
18.05,86.62,4.0,68.57
7.41,85.41,1.0,78.0
14.67,141.66,1.0,126.99
19.75,229.65,4.0,209.9
15.1,52.59,2.0,37.49
7.39,52.29,1.0,44.9
14.1,34.0,3.0,19.9
15.48,69.48,5.0,54.0
27.51,92.5,1.0,64.99
16.11,56.08,5.0,39.97
18.08,168.08,2.0,150.0
13.82,224.72,5.0,210.9
9.88,91.78,1.0,81.9
14.52,29.51,1.0,14.99
15.1,65.05,1.0,49.95
16.14,71.13,2.0,54.99
7.78,25.77,1.0,17.99
21.08,106.07,3.0,84.99
10.0,179.9,1.0,169.9
12.08,101.08,3.0,89.0
39.18,232.09,1.0,190.0
23.7,111.4,5.0,32.0
10.96,17.86,1.0,6.9
8.29,33.27,1.0,24.98
14.79,162.79,3.0,148.0
16.11,66.01,1.0,49.9
25.68,158.38,4.0,132.7
16.11,53.01,1.0,36.9
14.38,104.28,3.0,89.9
18.23,48.13,1.0,29.9
28.2,88.0,3.0,59.8
17.87,106.87,2.0,89.0
15.37,104.37,1.0,89.0
27.43,220.43,3.0,193.0
18.69,133.69,1.0,115.0
13.74,70.64,7.0,56.9
12.48,44.38,1.0,31.9
17.6,60.6,3.0,43.0
7.82,87.72,3.0,79.9
16.58,97.16,1.0,32.0
15.11,66.01,6.0,50.9
32.22,224.04,1.0,79.8
9.94,61.81,1.0,51.87
12.7,77.7,3.0,65.0
14.1,49.1,2.0,35.0
34.15,80.05,1.0,45.9
14.43,64.33,1.0,49.9
30.11,153.1,1.0,122.99
15.41,90.41,1.0,75.0
8.72,33.62,1.0,24.9
9.08,36.98,1.0,27.9
7.39,21.38,1.0,13.99
15.1,34.59,1.0,19.49
12.48,31.38,1.0,18.9
13.09,74.08,1.0,60.99
8.88,31.78,1.0,22.9
13.0,92.9,1.0,79.9
9.82,139.82,1.0,130.0
9.45,188.94,1.0,179.49
15.23,55.13,1.0,39.9
14.07,83.97,1.0,69.9
15.1,60.0,2.0,44.9
25.85,106.75,5.0,80.9
7.64,126.64,1.0,119.0
30.2,244.2,2.0,91.9
21.15,47.14,1.0,25.99
16.35,101.34,5.0,84.99
11.85,41.75,1.0,29.9
15.1,55.0,1.0,39.9
8.72,48.71,1.0,39.99
24.97,144.96,1.0,119.99
15.49,120.39,1.0,104.9
23.29,93.19,4.0,69.9
9.27,74.17,1.0,64.9
19.44,242.44,2.0,223.0
18.72,138.62,5.0,119.9
