order_item_count,total_freight_value,total_payment,payment_installments,total_price
1,22.06,36.96,1.0,14.9
1,15.26,37.58,3.0,22.32
4,60.4,640.0,1.0,99.6
1,42.78,95.68,4.0,52.9
1,15.45,115.44,3.0,99.99
1,19.49,189.39,2.0,169.9
1,10.96,37.86,1.0,26.9
1,15.73,155.23,3.0,139.5
1,13.21,91.21,5.0,78.0
1,13.52,85.42,5.0,71.9
1,20.99,70.89,7.0,49.9
1,19.04,38.04,3.0,19.0
1,33.03,359.19,1.0,326.16
1,18.23,48.13,1.0,29.9
1,7.78,47.38,1.0,39.6
1,22.23,271.23,1.0,249.0
2,15.56,34.68,1.0,53.8
5,138.9,5119.5,1.0,885.0
2,41.44,682.48,1.0,299.8
1,19.37,76.36,1.0,56.99
1,18.17,208.07,4.0,189.9
1,18.28,243.28,4.0,225.0
1,15.72,135.22,4.0,119.5
1,15.92,182.92,5.0,167.0
1,24.91,174.81,1.0,149.9
4,93.24,1251.36,1.0,219.6
1,20.19,318.69,1.0,298.5
1,7.44,32.43,1.0,24.99
1,15.66,80.56,1.0,64.9
1,14.11,34.01,3.0,19.9
1,23.02,1078.92,10.0,1055.9
1,28.3,160.2,5.0,131.9
1,28.06,48.01,4.0,19.95
1,15.69,245.59,1.0,229.9
1,15.79,40.69,1.0,24.9
1,18.72,138.72,1.0,120.0
1,17.64,73.54,2.0,55.9
1,11.24,101.14,1.0,89.9
2,30.2,86.0,1.0,55.8
1,9.7,79.7,1.0,70.0
1,13.79,1002.79,10.0,989.0
1,29.93,179.83,1.0,149.9
1,15.39,245.29,4.0,229.9
2,82.16,139.07,1.0,195.98
1,15.95,185.94,1.0,169.99
1,18.39,60.38,2.0,41.99
1,20.8,65.7,1.0,44.9
1,15.38,105.08,9.0,89.7
2,45.8,297.38,10.0,102.89
1,8.72,30.62,1.0,21.9
1,14.52,44.02,1.0,29.5
1,28.2,145.5,8.0,117.3
2,28.2,176.0,4.0,59.8
1,10.96,34.86,1.0,23.9
1,19.63,113.23,6.0,93.6
1,20.98,90.88,4.0,69.9
1,19.58,75.68,3.0,56.1
1,44.24,803.24,1.0,759.0
1,15.43,314.43,2.0,299.0
2,35.94,463.48,1.0,195.8
1,23.99,193.98,3.0,169.99
1,18.41,1318.06,1.0,1299.65
1,17.01,195.0,3.0,177.99
1,7.78,35.77,1.0,27.99
1,19.52,159.42,7.0,139.9
1,16.95,116.95,1.0,100.0
1,38.94,237.94,2.0,199.0
1,58.39,238.38,1.0,179.99
1,17.56,218.94,1.0,201.38
1,8.72,33.72,1.0,25.0
1,9.78,159.68,1.0,149.9
1,15.73,105.72,1.0,89.99
1,28.18,828.08,8.0,799.9
2,37.79,213.78,10.0,69.10000000000001
1,10.47,335.47,6.0,325.0
1,7.39,37.39,1.0,30.0
3,38.07,397.62,1.0,94.47
1,18.3,168.2,1.0,149.9
1,22.61,162.55,1.0,139.94
1,48.98,398.88,5.0,349.9
1,15.34,100.24,1.0,84.9
1,15.79,35.78,2.0,19.99
1,26.67,72.57,1.0,45.9
1,16.21,80.7,1.0,64.49
1,11.73,21.72,1.0,9.99
1,16.07,126.07,5.0,110.0
1,16.11,64.01,1.0,47.9
3,53.760000000000005,506.88,10.0,115.2
1,13.6,193.5,1.0,179.9
1,13.65,103.55,1.0,89.9
1,24.32,231.32,10.0,207.0
2,38.99,875.18,7.0,398.6
1,14.22,288.71,5.0,274.49
1,15.57,66.47,1.0,50.9
1,21.75,151.74,5.0,129.99
1,16.91,181.9,5.0,164.99
1,11.73,61.73,1.0,50.0
1,18.34,52.24,1.0,33.9
1,16.79,32.69,1.0,15.9
2,33.2,242.0,1.0,87.8
1,22.61,271.61,3.0,249.0
2,30.2,135.36,6.0,37.48
1,18.64,234.64,8.0,216.0
1,18.61,134.51,1.0,115.9
1,17.49,1478.48,10.0,1460.99
1,12.79,25.04,1.0,12.25
1,14.11,64.86,1.0,50.75
1,8.16,124.66,3.0,116.5
1,14.41,264.31,2.0,249.9
2,19.66,817.12,10.0,388.9
1,14.38,104.37,10.0,89.99
1,28.63,207.63,10.0,179.0
1,23.16,106.15,2.0,82.99
1,14.32,98.22,2.0,83.9
1,15.23,82.13,1.0,66.9
1,15.17,75.16,3.0,59.99
1,13.18,119.18,1.0,106.0
1,147.57,2111.57,1.0,1964.0
1,7.6,56.6,2.0,49.0
1,43.16,140.16,4.0,97.0
1,18.0,77.9,5.0,59.9
1,16.46,116.45,2.0,99.99
1,12.12,101.12,4.0,89.0
1,16.54,66.44,1.0,49.9
1,24.84,133.84,1.0,109.0
1,57.5,1057.4,10.0,999.9
1,18.23,68.13,1.0,49.9
1,13.07,82.97,4.0,69.9
2,35.26,146.12,1.0,37.8
1,45.13,235.03,8.0,189.9
1,14.59,74.54,1.0,59.95
1,47.44,473.15,1.0,425.71
1,26.54,344.53,4.0,317.99
1,13.61,57.61,1.0,44.0
1,25.73,152.72,1.0,126.99
1,7.71,21.4,1.0,13.69
1,15.1,54.07,2.0,38.97
1,18.43,97.43,1.0,79.0
1,12.48,30.38,1.0,17.9
1,13.9,222.9,1.0,209.0
1,7.71,19.21,1.0,11.5
1,7.78,42.77,1.0,34.99
1,15.7,150.7,4.0,135.0
1,18.23,158.13,3.0,139.9
3,50.28,887.94,10.0,245.7
1,13.44,73.34,1.0,59.9
1,16.17,219.06,1.0,202.89
1,23.52,157.72,1.0,134.2
1,14.99,113.59,4.0,98.6
1,18.23,55.22,1.0,36.99
1,19.19,175.16,10.0,155.97
1,21.35,100.35,1.0,79.0
1,12.57,292.47,10.0,279.9
2,41.6,179.2,8.0,48.0
1,56.61,107.51,5.0,50.9
1,16.66,163.65,1.0,146.99
1,15.63,75.48,1.0,59.85
1,13.44,73.34,1.0,59.9
1,47.46,162.36,1.0,114.9
1,9.72,139.5,5.0,129.78
1,13.51,83.41,3.0,69.9
1,16.21,81.2,8.0,64.99
1,22.13,51.03,2.0,28.9
1,12.89,211.89,2.0,199.0
2,87.4,882.64,10.0,353.92
1,13.47,78.36,5.0,64.89
1,23.42,283.42,5.0,260.0
1,7.39,32.39,1.0,25.0
1,16.27,89.17,4.0,72.9
1,18.41,136.41,1.0,118.0
1,8.72,57.72,5.0,49.0
1,31.98,381.88,6.0,349.9
1,98.02,348.02,8.0,250.0
1,16.79,56.79,4.0,40.0
1,8.72,74.71,1.0,65.99
1,18.23,48.73,4.0,30.5
1,18.19,152.09,1.0,133.9
2,31.18,542.36,1.0,240.0
1,19.98,506.98,1.0,487.0
1,18.3,185.2,3.0,166.9
1,9.34,57.24,3.0,47.9
1,17.88,107.53,2.0,89.65
1,144.29,543.29,1.0,399.0
1,25.56,225.46,8.0,199.9
1,20.8,50.7,5.0,29.9
1,15.23,30.13,3.0,14.9
1,7.39,52.38,1.0,44.99
1,13.44,73.34,1.0,59.9
1,12.93,82.92,1.0,69.99
1,7.78,46.78,1.0,39.0
1,21.19,121.18,2.0,99.99
1,15.1,44.59,1.0,29.49
4,70.4,273.2,4.0,202.8
1,13.25,113.15,1.0,99.9
1,12.62,82.62,1.0,70.0
1,9.33,119.33,1.0,110.0
1,20.49,69.49,1.0,49.0
1,18.05,53.95,1.0,35.9
1,63.11,186.1,10.0,122.99
1,7.6,56.6,3.0,49.0
1,14.1,60.0,2.0,45.9
1,18.2,108.19,4.0,89.99
1,11.73,70.72,2.0,58.99
1,18.29,166.29,1.0,148.0
1,26.54,242.48,3.0,215.94
1,26.7,913.7,1.0,887.0
1,7.78,32.77,1.0,24.99
1,15.79,59.69,1.0,43.9
1,15.1,55.09,1.0,39.99
1,18.27,74.17,1.0,55.9
1,9.34,44.24,1.0,34.9
1,15.86,174.86,4.0,159.0
1,12.79,37.69,3.0,24.9
1,13.46,293.36,1.0,279.9
1,12.79,42.77,4.0,29.98
1,12.79,52.78,1.0,39.99
2,28.2,148.36,1.0,45.98
1,113.72,723.72,1.0,610.0
1,15.1,31.09,1.0,15.99
1,13.41,62.41,5.0,49.0
1,8.88,60.37,1.0,51.49
1,15.24,85.14,1.0,69.9
1,20.62,120.52,1.0,99.9
2,26.44,419.08,1.0,183.1
1,31.97,206.87,3.0,174.9
1,18.13,98.03,1.0,79.9
1,13.18,163.08,1.0,149.9
2,17.84,710.66,3.0,337.49
1,9.74,37.24,1.0,27.5
1,52.8,252.8,5.0,200.0
1,18.3,78.2,1.0,59.9
1,15.52,125.42,2.0,109.9
1,16.99,76.89,1.0,59.9
1,11.15,68.64,1.0,57.49
1,18.04,131.61,4.0,113.57
1,14.15,71.14,6.0,56.99
1,25.04,99.94,1.0,74.9
1,16.79,59.79,3.0,43.0
1,15.02,217.01,4.0,201.99
1,16.05,48.04,2.0,31.99
1,30.33,105.32,1.0,74.99
1,27.31,137.26,1.0,109.95
1,18.23,67.93,1.0,49.7
1,22.37,392.37,1.0,370.0
1,9.44,108.44,1.0,99.0
1,15.5,205.4,8.0,189.9
1,17.59,286.59,3.0,269.0
1,13.46,293.46,1.0,280.0
1,35.69,115.59,2.0,79.9
1,11.01,68.0,4.0,56.99
2,31.54,444.16,1.0,190.54
1,9.86,159.86,1.0,150.0
1,8.18,116.17,2.0,107.99
1,7.98,41.88,1.0,33.9
1,19.59,264.59,10.0,245.0
1,14.42,109.42,4.0,95.0
1,15.1,29.0,1.0,13.9
2,14.78,235.36,1.0,102.9
1,15.83,151.04,1.0,135.21
1,21.38,521.37,8.0,499.99
1,10.6,65.6,1.0,55.0
1,7.78,37.68,1.0,29.9
1,8.27,36.17,1.0,27.9
2,33.7,627.36,6.0,279.98
1,45.41,123.15,8.0,77.74
1,10.15,130.05,8.0,119.9
1,23.15,620.15,1.0,597.0
1,13.98,70.97,2.0,56.99
1,12.48,28.38,1.0,15.9
1,24.12,130.11,2.0,105.99
1,17.09,22.99,2.0,5.9
1,7.56,50.49,1.0,42.93
1,38.09,433.43,24.0,395.34
2,28.2,216.0,1.0,79.8
1,21.39,150.39,6.0,129.0
2,38.92,357.8,6.0,139.98
1,45.3,165.3,3.0,120.0
1,8.96,38.96,1.0,30.0
1,12.79,41.28,1.0,28.49
1,14.86,113.86,1.0,99.0
1,15.07,294.97,1.0,279.9
1,7.39,66.29,1.0,58.9
1,12.79,37.78,1.0,24.99
1,29.41,1129.41,1.0,1100.0
2,33.78,76.88,6.0,119.98
2,68.14,1175.88,1.0,519.8
1,18.57,207.57,1.0,189.0
1,38.55,181.55,1.0,143.0
1,19.55,71.45,3.0,51.9
1,7.78,77.55,1.0,69.77
1,14.62,141.62,5.0,127.0
1,10.96,30.95,1.0,19.99
1,16.99,76.99,4.0,60.0
1,18.23,53.13,1.0,34.9
1,14.1,59.09,1.0,44.99
1,15.1,31.1,1.0,16.0
1,13.37,63.17,1.0,49.8
1,7.78,56.78,2.0,49.0
1,36.99,306.99,5.0,270.0
1,13.63,101.48,3.0,87.85
1,25.63,63.12,1.0,37.49
1,11.85,36.75,1.0,24.9
1,13.38,282.38,10.0,269.0
1,9.3,167.07,2.0,157.77
1,42.15,241.15,8.0,199.0
1,17.08,136.08,1.0,119.0
1,96.41,325.41,1.0,229.0
1,22.06,71.06,1.0,49.0
1,9.06,132.05,1.0,122.99
1,17.3,83.2,5.0,65.9
1,27.92,150.91,5.0,122.99
1,15.1,64.1,1.0,49.0
1,15.15,215.05,1.0,199.9
1,15.55,129.54,1.0,113.99
1,20.65,269.65,2.0,249.0
1,8.89,28.79,2.0,19.9
1,7.39,47.39,1.0,40.0
1,37.41,287.4,1.0,249.99
1,15.42,109.41,1.0,93.99
1,11.81,71.71,3.0,59.9
1,14.58,157.48,7.0,142.9
1,36.39,216.29,10.0,179.9
1,41.29,170.29,7.0,129.0
1,25.63,71.53,1.0,45.9
1,16.05,35.95,1.0,19.9
1,14.13,68.12,1.0,53.99
1,21.15,50.05,5.0,28.9
1,15.38,105.28,5.0,89.9
1,38.6,188.5,10.0,149.9
2,16.5,232.78,1.0,99.89
1,25.73,90.73,3.0,65.0
1,8.0,44.49,1.0,36.49
1,22.96,201.96,1.0,179.0
1,15.92,136.92,1.0,121.0
1,10.7,279.7,4.0,269.0
1,30.39,310.29,1.0,279.9
1,14.17,72.07,7.0,57.9
1,21.66,561.56,8.0,539.9
1,13.21,91.21,3.0,78.0
1,17.98,74.88,1.0,56.9
1,16.18,76.08,1.0,59.9
1,37.35,327.25,4.0,289.9
1,17.67,77.57,1.0,59.9
1,21.4,130.4,1.0,109.0
1,17.35,41.24,1.0,23.89
1,15.1,47.0,1.0,31.9
1,12.09,139.09,1.0,127.0
1,12.79,58.69,1.0,45.9
1,21.15,35.55,1.0,14.4
1,38.32,148.22,1.0,109.9
1,19.04,61.94,1.0,42.9
1,23.49,153.49,5.0,130.0
1,8.03,118.35,1.0,110.32
1,91.32,390.32,7.0,299.0
1,29.28,159.18,10.0,129.9
1,16.79,35.69,3.0,18.9
1,12.05,91.05,1.0,79.0
1,7.78,34.28,1.0,26.5
1,13.03,98.02,3.0,84.99
1,57.99,152.99,1.0,95.0
1,23.49,133.81,5.0,110.32
1,7.39,17.29,1.0,9.9
1,11.85,39.84,3.0,27.99
1,7.78,50.78,5.0,43.0
4,70.68,1066.72,6.0,196.0
1,56.96,114.85,1.0,57.89
1,13.65,103.64,3.0,89.99
1,37.17,147.07,5.0,109.9
1,20.08,54.98,1.0,34.9
2,65.74,1983.48,8.0,926.0
1,21.14,114.04,8.0,92.9
2,34.35,446.5,3.0,188.9
1,39.54,323.54,8.0,284.0
1,15.12,68.02,1.0,52.9
1,10.91,345.91,10.0,335.0
2,30.32,287.84,12.0,113.6
1,7.95,106.95,5.0,99.0
1,15.15,72.14,3.0,56.99
1,11.85,30.84,1.0,18.99
2,32.22,224.04,4.0,79.8
1,17.86,104.76,6.0,86.9
1,19.04,30.53,1.0,11.49
1,23.74,872.74,1.0,849.0
1,38.49,172.39,1.0,133.9
1,15.1,65.0,1.0,49.9
1,13.54,73.44,1.0,59.9
1,23.15,73.15,1.0,50.0
1,7.78,61.77,2.0,53.99
1,17.86,104.85,1.0,86.99
1,42.38,87.38,8.0,45.0
1,16.39,45.19,1.0,28.8
1,17.01,195.0,1.0,177.99
1,15.94,134.94,4.0,119.0
1,12.69,49.59,1.0,36.9
1,26.86,106.76,3.0,79.9
1,23.57,123.47,1.0,99.9
1,18.89,58.79,3.0,39.9
1,13.64,87.54,1.0,73.9
1,27.16,146.96,2.0,119.8
1,15.29,41.69,1.0,26.4
1,46.93,255.93,1.0,209.0
1,12.04,131.94,1.0,119.9
1,9.23,134.13,1.0,124.9
1,42.27,1061.76,10.0,1019.49
1,16.18,76.17,1.0,59.99
1,21.55,88.55,1.0,67.0
2,29.66,109.73,2.0,189.8
1,16.86,103.86,1.0,87.0
1,10.96,50.86,1.0,39.9
1,15.76,113.76,1.0,98.0
1,19.75,92.74,1.0,72.99
1,8.66,136.56,1.0,127.9
1,15.1,40.0,1.0,24.9
2,28.46,336.7,2.0,139.89
2,129.26,462.63,12.0,796.0
1,12.14,162.04,3.0,149.9
3,25.53,1687.59,2.0,537.0
1,87.11,264.08,3.0,176.97
1,14.1,63.1,1.0,49.0
1,18.8,148.7,1.0,129.9
1,17.6,57.5,5.0,39.9
1,12.79,54.79,1.0,42.0
1,22.93,72.92,2.0,49.99
1,8.27,50.77,2.0,42.5
1,18.23,33.23,1.0,15.0
1,20.63,219.63,1.0,199.0
1,24.86,117.76,10.0,92.9
1,23.06,92.06,1.0,69.0
1,17.48,127.38,2.0,109.9
1,18.23,63.13,2.0,44.9
1,38.99,138.96,1.0,99.97
1,18.3,78.3,2.0,60.0
1,16.66,1415.66,8.0,1399.0
1,126.47,3526.46,8.0,3399.99
1,22.34,112.24,2.0,89.9
2,19.08,717.76,1.0,339.8
1,13.63,100.62,1.0,86.99
1,16.88,106.69,2.0,89.81
2,57.5,58.65,1.0,59.8
2,52.86,1013.32,10.0,453.8
1,18.38,176.15,2.0,157.77
1,27.47,194.37,6.0,166.9
1,12.61,80.51,1.0,67.9
1,26.27,231.27,5.0,205.0
1,32.33,272.32,1.0,239.99
1,27.95,227.94,4.0,199.99
2,30.2,234.0,5.0,86.8
1,16.99,95.99,1.0,79.0
1,12.79,62.78,4.0,49.99
1,14.43,114.42,1.0,99.99
1,31.16,261.16,5.0,230.0
1,16.6,51.5,3.0,34.9
1,12.14,162.04,8.0,149.9
1,15.15,72.14,2.0,56.99
1,12.79,48.79,3.0,36.0
1,84.39,204.38,1.0,119.99
1,16.32,96.32,4.0,80.0
1,19.37,76.34,2.0,56.97
1,7.42,87.32,2.0,79.9
1,16.81,96.8,3.0,79.99
1,11.91,69.91,4.0,58.0
1,17.99,171.99,1.0,154.0
2,0.0,215.6,2.0,107.8
1,18.01,127.01,2.0,109.0
1,8.97,183.97,1.0,175.0
2,30.22,260.04,2.0,99.8
1,19.32,59.22,1.0,39.9
2,26.2,352.0,10.0,149.8
1,11.85,19.35,1.0,7.5
1,13.71,52.71,1.0,39.0
1,17.99,347.89,1.0,329.9
1,7.95,106.95,1.0,99.0
1,15.73,155.63,1.0,139.9
3,87.12,3226.68,10.0,988.44
1,11.85,27.75,1.0,15.9
3,23.19,267.57,1.0,66.0
1,14.79,254.78,1.0,239.99
1,16.75,96.65,4.0,79.9
1,17.02,127.01,5.0,109.99
1,42.34,191.34,3.0,149.0
1,27.51,102.51,2.0,75.0
1,17.96,167.86,1.0,149.9
1,18.23,68.18,5.0,49.95
2,36.46,176.52,1.0,51.8
1,7.44,32.44,1.0,25.0
2,31.12,63.56,1.0,96.0
1,17.89,186.89,5.0,169.0
2,23.7,123.36,5.0,37.98
1,43.11,143.1,8.0,99.99
1,11.85,24.84,1.0,12.99
1,16.25,86.15,8.0,69.9
1,11.85,60.85,1.0,49.0
1,17.62,87.52,1.0,69.9
1,8.11,130.1,4.0,121.99
1,18.23,67.13,1.0,48.9
1,9.09,48.99,4.0,39.9
1,11.36,311.35,5.0,299.99
1,7.87,47.37,1.0,39.5
2,31.18,341.96,5.0,139.8
1,9.73,149.5,1.0,139.77
2,31.26,302.12,3.0,119.8
1,17.63,57.53,1.0,39.9
1,7.79,82.79,1.0,75.0
1,23.1,98.0,2.0,74.9
2,54.46,628.52,4.0,259.8
1,8.88,71.78,3.0,62.9
1,14.1,54.0,1.0,39.9
1,16.79,56.69,1.0,39.9
1,16.11,66.1,1.0,49.99
1,9.7,358.5,1.0,348.8
1,14.2,79.19,3.0,64.99
1,13.44,72.93,1.0,59.49
1,21.61,181.6,1.0,159.99
1,23.35,101.25,1.0,77.9
1,15.66,131.65,3.0,115.99
3,58.07,912.99,8.0,246.26
6,69.72,4198.32,1.0,630.0
1,16.15,215.15,4.0,199.0
1,16.11,58.11,1.0,42.0
1,11.85,37.84,1.0,25.99
1,8.72,18.62,1.0,9.9
1,7.39,82.39,1.0,75.0
1,7.78,21.77,1.0,13.99
1,16.14,71.04,4.0,54.9
1,12.79,22.69,1.0,9.9
1,17.86,104.76,4.0,86.9
1,14.1,49.0,1.0,34.9
1,33.0,132.99,2.0,99.99
2,41.78,1679.16,1.0,797.8
1,16.17,74.72,5.0,58.55
2,32.48,416.96,1.0,176.0
1,26.67,225.67,1.0,199.0
1,8.88,41.88,1.0,33.0
3,48.33,126.33,1.0,78.0
1,15.1,35.0,1.0,19.9
1,26.98,155.98,2.0,129.0
1,15.16,74.16,5.0,59.0
1,15.39,105.38,3.0,89.99
1,23.0,82.9,1.0,59.9
1,9.06,53.96,1.0,44.9
1,21.12,111.02,5.0,89.9
1,0.0,199.0,1.0,199.0
1,12.76,72.66,4.0,59.9
1,7.78,21.48,1.0,13.7
1,22.16,87.15,1.0,64.99
2,25.02,509.64,1.0,229.8
1,17.0,116.9,1.0,99.9
1,18.26,41.26,1.0,23.0
1,18.26,40.58,1.0,22.32
1,15.27,90.17,3.0,74.9
1,17.6,57.59,2.0,39.99
1,20.4,50.3,1.0,29.9
1,22.92,444.92,4.0,422.0
1,8.0,102.0,1.0,94.0
1,13.86,133.86,10.0,120.0
1,38.55,181.55,4.0,143.0
1,14.08,83.98,3.0,69.9
1,15.17,75.17,1.0,60.0
1,15.38,55.28,1.0,39.9
1,9.26,43.25,1.0,33.99
1,11.64,156.63,1.0,144.99
6,90.6,1620.0,1.0,179.39999999999998
1,37.04,86.94,8.0,49.9
1,36.84,145.84,1.0,109.0
1,26.81,96.71,1.0,69.9
1,45.12,194.12,10.0,149.0
1,21.26,131.16,1.0,109.9
1,8.75,88.74,2.0,79.99
1,13.62,99.52,8.0,85.9
1,23.48,163.47,1.0,139.99
1,17.95,72.85,1.0,54.9
1,17.63,57.63,2.0,40.0
1,12.24,157.24,1.0,145.0
2,35.34,310.28,3.0,119.8
1,15.39,57.39,1.0,42.0
1,13.47,48.37,1.0,34.9
1,21.18,76.17,1.0,54.99
1,12.16,106.51,1.0,94.35
1,17.94,116.84,1.0,98.9
1,11.73,48.63,1.0,36.9
1,12.79,23.69,2.0,10.9
1,21.62,1210.62,10.0,1189.0
1,13.72,113.72,5.0,100.0
1,12.93,62.63,1.0,49.7
4,31.72,1462.72,1.0,333.96
1,15.16,215.06,8.0,199.9
1,17.06,36.95,1.0,19.89
1,15.1,64.1,1.0,49.0
1,21.5,115.5,1.0,94.0
1,9.44,29.34,1.0,19.9
1,13.17,131.75,1.0,118.58
1,34.27,164.26,1.0,129.99
1,18.03,177.93,1.0,159.9
2,22.72,241.44,3.0,98.0
2,30.34,300.28,3.0,119.8
1,13.25,262.75,5.0,249.5
1,7.71,37.61,1.0,29.9
1,7.58,53.58,1.0,46.0
1,17.23,157.13,3.0,139.9
1,18.09,137.99,3.0,119.9
1,48.24,187.24,2.0,139.0
1,23.46,98.46,1.0,75.0
2,22.3,86.14,1.0,149.98
1,14.1,63.1,3.0,49.0
1,15.28,90.28,2.0,75.0
1,27.06,792.06,1.0,765.0
1,12.0,151.9,2.0,139.9
1,18.72,138.62,10.0,119.9
10,212.2,8780.5,10.0,3300.0
1,25.63,44.53,1.0,18.9
1,7.78,25.77,1.0,17.99
1,15.1,21.1,2.0,6.0
1,7.78,24.68,1.0,16.9
1,7.78,81.78,3.0,74.0
1,12.74,69.73,1.0,56.99
1,10.96,43.86,1.0,32.9
4,70.72,1273.28,6.0,247.6
2,36.59,286.78,3.0,106.8
1,10.67,275.67,5.0,265.0
1,11.85,41.84,1.0,29.99
1,26.92,81.82,6.0,54.9
1,8.27,52.59,1.0,44.32
1,26.53,171.51,1.0,144.98
1,9.74,37.54,1.0,27.8
1,35.67,80.57,3.0,44.9
1,15.1,54.6,1.0,39.5
1,15.79,39.78,2.0,23.99
1,9.94,54.93,1.0,44.99
1,28.59,258.49,4.0,229.9
2,38.08,58.94,5.0,79.8
1,23.1,98.0,1.0,74.9
1,15.52,123.52,2.0,108.0
2,22.3,114.72,1.0,35.06
1,12.26,92.25,1.0,79.99
1,7.78,21.38,1.0,13.6
1,26.2,220.19,10.0,193.99
1,21.82,131.81,2.0,109.99
1,18.59,88.09,1.0,69.5
1,8.27,27.6,2.0,19.33
1,15.61,138.6,7.0,122.99
1,21.26,131.26,2.0,110.0
1,23.43,103.42,2.0,79.99
1,11.95,76.95,3.0,65.0
1,16.28,216.64,3.0,200.36
1,97.32,1996.32,10.0,1899.0
1,15.1,52.1,3.0,37.0
1,7.78,42.78,1.0,35.0
1,67.07,236.07,3.0,169.0
1,13.08,87.08,1.0,74.0
2,42.3,280.6,7.0,98.0
1,12.88,44.66,1.0,31.78
1,27.42,396.32,5.0,368.9
1,18.53,278.43,3.0,259.9
1,27.07,117.07,1.0,90.0
1,37.97,97.87,1.0,59.9
1,16.79,22.78,2.0,5.99
1,27.0,92.9,2.0,65.9
1,22.75,201.75,4.0,179.0
1,25.35,514.35,8.0,489.0
1,25.13,1075.74,10.0,1050.61
2,27.62,223.81,3.0,420.0
1,27.17,117.07,10.0,89.9
1,32.8,282.8,8.0,250.0
1,15.46,200.45,2.0,184.99
1,29.95,89.94,1.0,59.99
1,17.37,177.27,1.0,159.9
1,14.52,41.51,4.0,26.99
4,64.44,881.6,6.0,155.96
2,18.54,40.17,1.0,61.8
1,12.7,155.2,1.0,142.5
1,16.8,95.8,1.0,79.0
1,11.85,37.84,1.0,25.99
1,14.15,74.05,1.0,59.9
1,70.0,229.9,1.0,159.9
1,16.35,245.35,5.0,229.0
1,11.85,55.85,1.0,44.0
1,27.96,167.86,3.0,139.9
1,25.91,115.21,3.0,89.3
2,35.67,503.14,5.0,215.9
1,27.34,141.14,2.0,113.8
1,13.37,63.27,1.0,49.9
1,15.3,43.29,1.0,27.99
1,24.84,45.74,1.0,20.9
1,89.34,884.34,10.0,795.0
1,13.76,119.66,1.0,105.9
