category,encoded_value
"cama_mesa_banho,market_place",116
"cama_mesa_banho,market_place,perfumaria",117
"cama_mesa_banho,moveis_cozinha_area_de_servico_jantar_e_jardim",118
"cama_mesa_banho,moveis_decoracao",119
"cama_mesa_banho,moveis_decoracao,moveis_escritorio",120
"cama_mesa_banho,moveis_escritorio",121
"cama_mesa_banho,moveis_quarto",122
"cama_mesa_banho,moveis_sala",123
"cama_mesa_banho,nan",124
"cama_mesa_banho,pet_shop",125
"cama_mesa_banho,utilidades_domesticas",126
casa_conforto,127
"casa_conforto,moveis_decoracao",128
casa_conforto_2,129
"casa_conforto_2,instrumentos_musicais",130
casa_construcao,131
"casa_construcao,construcao_ferramentas_iluminacao",132
"casa_construcao,construcao_ferramentas_jardim",133
"casa_construcao,construcao_ferramentas_seguranca",134
"casa_construcao,cool_stuff,informatica_acessorios",135
"casa_construcao,eletronicos",136
"casa_construcao,ferramentas_jardim",137
"casa_construcao,ferramentas_jardim,moveis_decoracao",138
"casa_construcao,moveis_decoracao",139
"casa_construcao,moveis_decoracao,utilidades_domesticas",140
"casa_construcao,utilidades_domesticas",141
cds_dvds_musicais,142
cine_foto,143
"cine_foto,esporte_lazer",144
climatizacao,145
"climatizacao,esporte_lazer",146
"climatizacao,informatica_acessorios",147
consoles_games,148
"consoles_games,esporte_lazer",149
"consoles_games,informatica_acessorios",150
"consoles_games,pet_shop",151
"consoles_games,utilidades_domesticas",152
construcao_ferramentas_construcao,153
"construcao_ferramentas_construcao,ferramentas_jardim",154
"construcao_ferramentas_construcao,informatica_acessorios",155
"construcao_ferramentas_construcao,moveis_cozinha_area_de_servico_jantar_e_jardim",156
"construcao_ferramentas_construcao,pet_shop",157
"construcao_ferramentas_construcao,relogios_presentes",158
"construcao_ferramentas_construcao,utilidades_domesticas",159
construcao_ferramentas_ferramentas,160
construcao_ferramentas_iluminacao,161
"construcao_ferramentas_iluminacao,construcao_ferramentas_jardim",162
"construcao_ferramentas_iluminacao,esporte_lazer",163
"construcao_ferramentas_iluminacao,moveis_decoracao",164
construcao_ferramentas_jardim,165
"construcao_ferramentas_jardim,ferramentas_jardim",166
"construcao_ferramentas_jardim,flores",167
"construcao_ferramentas_jardim,livros_tecnicos",168
"construcao_ferramentas_jardim,nan",169
"construcao_ferramentas_jardim,nan,pet_shop",170
"construcao_ferramentas_jardim,telefonia",171
construcao_ferramentas_seguranca,172
"construcao_ferramentas_seguranca,cool_stuff",173
"construcao_ferramentas_seguranca,informatica_acessorios",174
cool_stuff,175
"cool_stuff,esporte_lazer",176
"cool_stuff,informatica_acessorios",177
"cool_stuff,livros_interesse_geral",178
"cool_stuff,moveis_decoracao",179
"cool_stuff,nan",180
"cool_stuff,pc_gamer",181
"cool_stuff,relogios_presentes",182
"cool_stuff,tablets_impressao_imagem",183
"cool_stuff,telefonia",184
"cool_stuff,utilidades_domesticas",185
dvds_blu_ray,186
"dvds_blu_ray,informatica_acessorios",187
"dvds_blu_ray,utilidades_domesticas",188
eletrodomesticos,189
eletrodomesticos_2,190
eletronicos,191
"eletronicos,eletroportateis",192
"eletronicos,esporte_lazer",193
"eletronicos,ferramentas_jardim",194
"eletronicos,informatica_acessorios",195
"eletronicos,malas_acessorios",196
"eletronicos,moveis_decoracao",197
"eletronicos,perfumaria",198
"eletronicos,relogios_presentes",199
"eletronicos,telefonia",200
eletroportateis,201
"eletroportateis,esporte_lazer",202
"eletroportateis,moveis_decoracao",203
"eletroportateis,utilidades_domesticas",204
esporte_lazer,205
"esporte_lazer,ferramentas_jardim",206
"esporte_lazer,informatica_acessorios",207
"esporte_lazer,moveis_decoracao",208
"esporte_lazer,moveis_decoracao,pet_shop",209
"esporte_lazer,moveis_escritorio",210
"esporte_lazer,nan",211
"esporte_lazer,papelaria",212
"esporte_lazer,perfumaria",213
"esporte_lazer,relogios_presentes",214
"esporte_lazer,utilidades_domesticas",215
fashion_bolsas_e_acessorios,216
"fashion_bolsas_e_acessorios,fashion_esporte",217
"fashion_bolsas_e_acessorios,fashion_roupa_infanto_juvenil",218
"fashion_bolsas_e_acessorios,nan",219
"fashion_bolsas_e_acessorios,papelaria",220
fashion_calcados,221
fashion_esporte,222
"fashion_esporte,fashion_roupa_feminina",223
fashion_roupa_feminina,224
fashion_roupa_infanto_juvenil,225
fashion_roupa_masculina,226
fashion_underwear_e_moda_praia,227
ferramentas_jardim,228
"ferramentas_jardim,informatica_acessorios",229
"ferramentas_jardim,la_cuisine",230
"ferramentas_jardim,malas_acessorios",231
"ferramentas_jardim,moveis_decoracao",232
"ferramentas_jardim,moveis_sala",233
"ferramentas_jardim,papelaria",234
"ferramentas_jardim,pet_shop",235
"ferramentas_jardim,relogios_presentes",236
"ferramentas_jardim,telefonia",237
"ferramentas_jardim,utilidades_domesticas",238
flores,239
"flores,moveis_decoracao",240
fraldas_higiene,241
industria_comercio_e_negocios,242
"industria_comercio_e_negocios,moveis_decoracao",243
"industria_comercio_e_negocios,moveis_escritorio",244
"industria_comercio_e_negocios,utilidades_domesticas",245
informatica_acessorios,246
"informatica_acessorios,malas_acessorios",247
"informatica_acessorios,moveis_decoracao",248
"informatica_acessorios,moveis_escritorio",249
"informatica_acessorios,nan",250
"informatica_acessorios,papelaria",251
"informatica_acessorios,relogios_presentes",252
"informatica_acessorios,tablets_impressao_imagem",253
"informatica_acessorios,telefonia",254
"informatica_acessorios,utilidades_domesticas",255
instrumentos_musicais,256
"instrumentos_musicais,malas_acessorios",257
"instrumentos_musicais,market_place",258
"instrumentos_musicais,moveis_decoracao",259
"instrumentos_musicais,nan",260
"instrumentos_musicais,relogios_presentes",261
la_cuisine,262
livros_importados,263
"livros_importados,nan",264
livros_interesse_geral,265
"livros_interesse_geral,market_place",266
"livros_interesse_geral,utilidades_domesticas",267
livros_tecnicos,268
"livros_tecnicos,moveis_decoracao",269
"livros_tecnicos,musica",270
malas_acessorios,271
"malas_acessorios,papelaria",272
"malas_acessorios,telefonia",273
market_place,274
"market_place,moveis_decoracao",275
"market_place,utilidades_domesticas",276
moveis_colchao_e_estofado,277
moveis_cozinha_area_de_servico_jantar_e_jardim,278
"moveis_cozinha_area_de_servico_jantar_e_jardim,moveis_decoracao",279
"moveis_cozinha_area_de_servico_jantar_e_jardim,utilidades_domesticas",280
moveis_decoracao,281
"moveis_decoracao,moveis_escritorio",282
"moveis_decoracao,moveis_quarto",283
"moveis_decoracao,moveis_sala",284
"moveis_decoracao,nan",285
"moveis_decoracao,papelaria",286
"moveis_decoracao,pcs",287
"moveis_decoracao,perfumaria",288
"moveis_decoracao,pet_shop",289
"moveis_decoracao,relogios_presentes",290
"moveis_decoracao,relogios_presentes,utilidades_domesticas",291
"moveis_decoracao,utilidades_domesticas",292
moveis_escritorio,293
"moveis_escritorio,moveis_sala",294
moveis_quarto,295
moveis_sala,296
"moveis_sala,nan",297
musica,298
"musica,perfumaria",299
"nan,papelaria",300
"nan,perfumaria",301
"nan,pet_shop",302
"nan,utilidades_domesticas",303
papelaria,304
"papelaria,relogios_presentes",305
"papelaria,utilidades_domesticas",306
pc_gamer,307
pcs,308
perfumaria,309
"perfumaria,pet_shop",310
"perfumaria,relogios_presentes",311
"perfumaria,utilidades_domesticas",312
pet_shop,313
portateis_casa_forno_e_cafe,314
portateis_cozinha_e_preparadores_de_alimentos,315
relogios_presentes,316
"relogios_presentes,telefonia",317
"relogios_presentes,utilidades_domesticas",318
seguros_e_servicos,319
sinalizacao_e_seguranca,320
tablets_impressao_imagem,321
telefonia,322
"telefonia,telefonia_fixa",323
telefonia_fixa,324
utilidades_domesticas,325
